MsgID.STATE,1521883067.1269608,False,False
MsgID.GLOBAL_HOME,1521883067.1289575,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521883067.1289575,-122.3974487,37.7924804,0.1170000
MsgID.LOCAL_VELOCITY,1521883067.1289575,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521883067.1299579,0.0499498,0.1105120,-0.1177791
MsgID.LOCAL_VELOCITY,1521883067.1299579,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1521883067.1299579,-122.3974506,37.7924813,0.1050000
MsgID.LOCAL_VELOCITY,1521883067.1299579,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521883067.1299579,0.1458321,-0.0606790,-0.1058445
MsgID.LOCAL_VELOCITY,1521883067.1299579,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1521883067.1309659,-122.3974515,37.7924801,0.0840000
MsgID.LOCAL_VELOCITY,1521883067.1309659,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521883067.1309659,0.0170990,-0.1363936,-0.0842944
MsgID.LOCAL_VELOCITY,1521883067.1309659,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1521883067.1309659,-122.3974492,37.7924799,0.0540000
MsgID.LOCAL_VELOCITY,1521883067.1309659,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521883067.1309659,-0.0002199,0.0662915,-0.0548159
MsgID.LOCAL_VELOCITY,1521883067.1309659,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1521883067.3569572,True,True
MsgID.GLOBAL_HOME,1521883073.7699571,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521883073.7699571,-122.3974485,37.7924798,0.0210000
MsgID.LOCAL_VELOCITY,1521883073.7699571,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521883073.7699571,-0.0658133,0.4230186,-0.0210038
MsgID.LOCAL_VELOCITY,1521883073.7699571,-0.0000151,0.0000102,0.0000006
MsgID.GLOBAL_POSITION,1521883073.7699571,-122.3974480,37.7924787,-0.0110000
MsgID.LOCAL_VELOCITY,1521883073.7699571,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521883073.7699571,-0.1866801,0.4647195,0.0116353
MsgID.LOCAL_VELOCITY,1521883073.7699571,-0.0000352,-0.0005388,-0.0047751
MsgID.GLOBAL_POSITION,1521883073.7699571,-122.3974485,37.7924784,-0.0230000
MsgID.LOCAL_VELOCITY,1521883073.7699571,0.0000000,-0.0200000,-0.0900000
MsgID.LOCAL_POSITION,1521883073.7699571,-0.2276554,0.4271102,0.0230578
MsgID.LOCAL_VELOCITY,1521883073.7699571,0.0000332,-0.0293874,-0.0988355
MsgID.GLOBAL_POSITION,1521883073.7699571,-122.3974492,37.7924796,-0.0200000
MsgID.LOCAL_VELOCITY,1521883073.7699571,0.0000000,-0.0700000,-0.0300000
MsgID.LOCAL_POSITION,1521883073.7709591,-0.0922370,0.3613597,0.0200418
MsgID.LOCAL_VELOCITY,1521883073.7709591,0.0080904,-0.0740690,-0.0322799
MsgID.STATE,1521883073.7709591,True,True
MsgID.GLOBAL_HOME,1521883073.7719595,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521883073.7719595,-122.3974494,37.7924805,-0.0180000
MsgID.LOCAL_VELOCITY,1521883073.7719595,0.0100000,-0.0700000,0.0300000
MsgID.LOCAL_POSITION,1521883073.7719595,0.0045989,0.3444017,0.0184773
MsgID.LOCAL_VELOCITY,1521883073.7719595,0.0145635,-0.0711507,0.0395012
MsgID.GLOBAL_POSITION,1521883073.7719595,-122.3974520,37.7924812,-0.0070000
MsgID.LOCAL_VELOCITY,1521883073.7719595,0.0000000,-0.0600000,0.0300000
MsgID.LOCAL_POSITION,1521883073.7719595,0.0859956,0.1098841,0.0073938
MsgID.LOCAL_VELOCITY,1521883073.7719595,0.0071095,-0.0652092,0.0304076
